nomeLocalidade;SIGLA_UF;Exportação_2020_Valor US$ FOB;Exportação_2020_Quilograma Líquido;Importação_2020_Valor US$ FOB;Importação_2020_Quilograma Líquido;Exportação_2019_Valor US$ FOB;Exportação_2019_Quilograma Líquido;Importação_2019_Valor US$ FOB;Importação_2019_Quilograma Líquido;Exportação_2018_Valor US$ FOB;Exportação_2018_Quilograma Líquido;Importação_2018_Valor US$ FOB;Importação_2018_Quilograma Líquido;Exportação_2017_Valor US$ FOB;Exportação_2017_Quilograma Líquido;Importação_2017_Valor US$ FOB;Importação_2017_Quilograma Líquido;Exportação_2016_Valor US$ FOB;Exportação_2016_Quilograma Líquido;Importação_2016_Valor US$ FOB;Importação_2016_Quilograma Líquido;Exportação_2015_Valor US$ FOB;Exportação_2015_Quilograma Líquido;Importação_2015_Valor US$ FOB;Importação_2015_Quilograma Líquido
Juatuba;MG;6539176;1272642;20141636;10287237;11503122;1758611;46958998;29278146;14178929;2785965;45828226;33516638;10133516;2171853;39609945;30362098;9208621;1717384;35994495;3952427;10550063;6143109;42330341;4251457
Pará de Minas;MG;47682566;143183636;18587114;10311442;52477088;137015783;20031934;9330387;34444708;77049129;20743285;7582051;44064275;109642036;14776818;4798511;41929258;107491369;23864822;8173380;42664679;129725400;37583812;10229524
Frederico Westphalen;RS;1024143;2904559;2722957;10339630;4805485;2425174;2782120;21033144;7107108;3440283;8714939;61125913;5944925;2183211;4414182;33294084;6381421;2993290;9735078;56326229;33399702;12530467;2409831;1275356
Irati;PR;60012337;136736043;30190831;10431687;59975785;147984572;31190398;8507315;35895116;34551604;27849331;11727894;48969703;73051048;29479068;15931234;31231124;44780693;30460970;32940879;45290453;59869611;29295518;9559050
Nova Lima;MG;2130208086;19368853113;53742220;10505495;1821728684;20398978917;43137009;41932183;2008995241;28549023398;64962601;155650587;2239666752;33359300869;58378438;149678382;1883448178;40797764605;42556823;105022189;1791004019;37592966848;33001877;120482463
Quatro Pontes;PR;1991499;1740541;2663615;10506625;2293656;1812050;1287628;6075200;2547864;1296169;1325797;6040026;4278992;1629895;781058;4600072;4645034;930137;685600;4000058;2495765;958585;420744;2005122
Lauro de Freitas;BA;7537749;2384799;52085055;10713181;14258609;3555404;60644864;13530201;15843481;2444947;53216950;12622034;16590895;2261369;52729478;12459899;11836697;1734996;47047734;8313900;14007519;2266328;53093751;11024342
Limoeiro do Norte;CE;5352837;12240931;32756950;10786286;7724747;17625646;618546;1229280;2971584;6635135;698841;1840531;972284;2996888;252021;664305;4816251;12534727;661254;693985;5230110;12366506;676246;1292793
Ribeirão Pires;SP;123841809;8979894;55865740;10850843;137862196;9934077;38575204;7097345;132496090;9855775;34394063;7269179;145415781;9687067;69282570;16803582;160638902;11453995;51387779;13369669;153528113;10027807;59833407;13721139
Itapecerica da Serra;SP;28891002;1990063;194483144;11102771;28540795;1237341;206185775;6665248;26152880;1552855;215531048;8775260;28654849;1582006;175282475;5585186;13557361;1668647;164929457;4354815;17583843;1351365;141931510;5082744
Matelândia;PR;160774670;98539740;4065782;11150491;194840761;106976551;9716637;30483588;227657487;141051677;12894146;25521514;194011138;120814433;18942534;41911296;149964085;99251330;21253023;57101590;129040453;79078054;21618336;45989244
Taquari;RS;31403246;100286572;52894657;11188763;31473969;82623971;43680357;16349044;40262365;101687269;37521844;7638771;34043691;90750057;20696592;6802317;26248000;73398594;22664945;10746616;27099169;52164806;22431745;5825118
Eldorado do Sul;RS;1878198;178670;29689845;11260044;3235075;43016;30688103;8796668;3811609;298235;34642288;11718794;3777154;101473;32320151;11245388;2407593;23234;36768955;15432291;4014299;265502;38865023;16492456
Timbó;SC;41012041;17548666;22835038;11295930;43549068;16375491;26721904;9663281;42711983;17220374;23173150;7916727;43277656;17969643;20731514;6708250;37205489;16282393;14804418;5218764;41433386;16496516;19990094;6716480
Vassouras;RJ;81562;9518;22223778;11394703;337331;42316;6810719;2968473;268320;34736;4797281;781060;131840;23824;2854564;274844;114355;23696;1148524;269104;200192;41544;4769030;882392
Mogi-Mirim;SP;49440079;23040862;67730194;11467560;60898497;25836976;81049570;14485519;69727262;30698216;78766343;15746294;73133393;30772616;65864996;15971629;73340660;32908762;59781261;17200521;71619556;30638933;94528906;24571340
Pardinho;SP;57571;6550;3006657;11514679;42531;3298;2750045;10897056;0;0;2643652;9817356;0;0;2357070;9918081;1584;100;2677711;10051461;19437;2394;2302716;8613023
Horizontina;RS;61621808;6366597;146461910;11554640;66884098;6821992;213843316;17862243;98766762;11152448;217086242;18652220;140364618;17390838;209605989;18406049;87282754;12004071;169090332;15907654;93639837;10693686;155254839;14674444
Alto Horizonte;GO;400483294;230468555;12380136;11587909;424810071;268695690;14373350;10184775;439071361;238229932;17842701;15202348;408812169;232316736;16413869;15564578;374406635;254364383;13142578;12720492;338553305;206486299;12939560;10040248
São Gonçalo dos Campos;BA;13527153;1944757;6397938;11809250;9021053;1606438;3135566;4322987;12800189;1431366;110312;55847;11870363;1665471;101877;49111;14333297;2483474;23229;887;15079926;2897158;14661252;652226
Cianorte;PR;36558265;24044518;7989583;11965470;32081698;21075446;32935909;53620597;44318570;23577596;26847090;37763118;38400458;21668527;48568977;83525445;28234467;18287452;10901385;23472080;15865115;11017304;7920034;3069818
Joaquim Nabuco;PE;0;0;6167459;11982493;0;0;1471990;2965904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rio do Sul;SC;117741319;42504860;21088506;12005084;94008370;37465062;22944821;3727101;82428635;36297843;18177948;2390403;106593021;43491522;17445915;5834178;97601379;50885643;12135248;3973702;113973445;44773299;20120067;3595558
Altos;PI;276847;37589;4073473;12035402;9448572;24241458;3446021;8918818;2457145;5628763;4599079;11510298;4081946;9270963;977107;4408330;2804213;3794188;1713248;1846413;2234483;4564263;1068260;1547256
Santa Rosa de Viterbo;SP;10585994;7487421;18968193;12085608;12218139;8249839;14443696;7586392;18330328;11742609;15693969;9589960;9627314;5533854;16506204;11951360;9783706;5774485;13646124;6866059;14322099;8110956;15121229;9996692
Joaçaba;SC;8361155;17244461;3702036;12134959;6107899;9995146;5773854;25100960;14054638;22590399;3950707;14107843;5781353;7690565;748417;3066316;13826142;30963990;10537030;55983915;65415999;134189433;3050269;7831984
Jaboticabal;SP;78347488;95839184;27898919;12167843;55932873;45038630;32691916;8823924;63974869;52864588;25606950;8040693;68519396;48483188;18460422;6426861;43235876;32296481;16076327;4933127;43177647;29418425;16426036;6059550
Garibaldi;RS;64015054;51568553;37637976;12237860;63366721;43560945;45734499;13002575;41604180;27561036;44989766;12355826;54480786;34307836;39785086;13995737;64271091;50888866;38778865;12955855;59576092;39891598;53760416;13235809
Meleiro;SC;26742;47550;4571663;12263729;1657;606;1778251;4683970;0;0;179976;407113;4018;2158;2025309;4892670;16844;5991;2127745;4683000;4847;1502;63798;77000
São Joaquim da Barra;SP;165689820;465252901;11778997;12400260;44503903;126587938;10090554;12994879;62910716;174832620;13810160;22344632;69150828;149443998;11191414;11653054;80800899;178965207;6534282;7256521;47149893;111413071;5923059;5374156
Nova Santa Rita;RS;5306999;3206503;73328231;12492205;5683639;2923190;89808988;13616619;9072031;5355937;75546190;14997871;9634337;3992664;44926466;12309011;32521556;14362655;22411648;4475587;8291367;6053961;22506277;2422563
São Vicente;SP;9478166;8127671;13476803;12589145;8080684;5178502;12444722;17129464;9000097;10314336;9291335;12370618;6142306;6828932;7470117;10378364;4082680;3398090;8168731;10990334;5635243;4921188;13122221;19335846
Araras;SP;125078666;234301620;43196110;12596144;100191755;133593221;37525039;9330496;99673013;84449230;47037256;11891883;173659122;142561544;54173376;14220470;232856817;181971996;31767199;7874055;108345896;99786274;51891365;15328446
Lagoa da Confusão;TO;0;0;6405713;12789510;413596;1019760;2495774;6759540;0;0;19125;66;0;0;5373;78;0;0;11618;154;1836000;5038611;414660;1150500
Apiúna;SC;1915609;213898;16655236;12956501;2989272;340173;17100341;9662946;2874297;368290;19976795;9470108;3568103;407959;18901418;9422150;4011904;640906;14509315;7359239;4693126;594579;24313102;8017966
Paracatu;MG;978436151;30210880;62209678;12973003;802228010;41450389;36756571;20567770;772209581;331971242;47225639;24846647;476005820;12513182;44349118;24884447;580634916;44719644;60320847;35945082;562693709;28099073;53081203;33409068
Cláudio;MG;5341055;3795148;7457980;13011962;4332338;6397854;9142161;10681120;4562111;3080642;6587157;8020865;5928892;4726217;5319998;9028463;3936033;2364243;5895379;9223484;4266661;3181623;5889449;7819741
Seropédica;RJ;8184218;2894229;59498681;13153748;12299057;3110542;70988532;13240432;11720757;2684310;54219036;11797388;13458378;3652884;73997748;10895826;21295490;4945100;72321924;7204213;54371139;18873184;85593651;10045482
Entre Rios do Oeste;PR;17861;3429;1995650;13328610;0;0;1696590;12600600;2963;310;10188;260;0;0;67829;24717;0;0;0;0;4191;680;76159;24347
Apucarana;PR;27434242;37977523;16150998;13388022;24683630;33936190;16480369;12968133;36025342;44558952;15118238;10027267;60847556;93183416;15440862;11570164;58250901;77135298;15944317;11336308;71762700;100335919;17048897;10282893
Portão;RS;41672854;15312884;18692456;13402568;53459125;20175642;21736826;14602857;58718056;25619236;23096656;14791084;59552949;28670428;21003784;13534024;63809886;25761996;17640149;12276052;81006879;23931362;15683263;8427152
Garanhuns;PE;320185;553750;2434793;13526069;0;0;1228128;6506601;0;0;1922474;11408202;0;0;7975199;43652765;0;0;8695688;49257327;1259162;3152;542502;61030
Itapejara d'Oeste;PR;94332308;66910358;3890158;13688584;90772933;63733410;2000578;13611920;93596758;60837678;540180;3612000;79234360;59251421;2474443;18920950;85336887;60506827;4846877;27910510;83854544;49013276;1986202;379210
Vitória de Santo Antão;PE;32216798;42703296;20472882;13728246;7773991;12911200;35093158;30526665;12589543;18463049;48945362;30510229;17467499;33556900;26344685;14181879;11089525;18596872;23875591;17115141;10835347;24406633;22689443;16222083
São Simão;GO;161638760;442641834;3790237;14054032;126861950;340870583;5267005;15231389;31195990;65383715;5632370;13060555;56934363;132069324;5092210;14574477;81371929;192212747;3139936;13927318;214097622;483505375;4684831;13150000
São Gabriel;RS;70357269;18176323;24681723;14198097;22651452;8332985;32957047;13365283;34869170;11389943;42405484;12660819;25979288;7122705;38778741;13813503;19429464;5660683;38464428;14577133;24088006;5782727;9128986;2909012
Ibiá;MG;0;0;4341320;14344631;13010825;35047009;3968084;12310631;12363583;31975000;2259889;6562809;13294518;34972122;413336;880352;11158679;32052563;188442;552563;7968100;19664225;79298;2596
Bauru;SP;187225366;152776260;77205289;14358671;225201716;193812734;61132520;14466805;239687971;212162167;80283415;17796825;206905360;188863786;68133881;13985856;220438052;194849886;57317724;15447328;233154556;185777722;83840140;28486270
Santa Bárbara d'Oeste;SP;66325355;8320227;153773383;14425022;198956013;41062546;108423901;12321842;92920684;24069180;118999944;13242190;85814652;13670241;113534535;17068991;69137936;15865368;101914849;12644551;45115038;7722211;215593220;16614920
Vespasiano;MG;12317851;2687423;64269477;14470702;10014410;3713824;66973855;12629498;17603924;4302700;54933160;12420309;13569020;3982445;56648520;14144054;19713245;7874099;46483440;13189998;24394314;10001394;81685969;23776074
Canaã dos Carajás;PA;6745365019;82131373038;75933256;14482099;4930518728;70509400598;77638027;17892882;3422935111;59766989195;59486006;14783130;1419908556;19205969995;57352405;19550235;427966710;343388000;365858631;54048188;605053765;409327001;47186094;14359519
Campina Grande do Sul;PR;18083691;2641474;99932318;14485450;16941600;2215320;86190326;12715421;25105163;2064234;88635793;12842540;17825493;1548159;89711904;14007789;1954281;211079;19987150;5597492;1774664;216052;25958339;6860713
Dois Vizinhos;PR;11605284;3044050;2478877;14506596;13604636;4707387;1241100;6936984;12340388;3513264;3688386;15555935;6540214;1718130;174729;1007155;8243469;2515294;3734041;11324551;12424248;2894064;297901;63874
Bagé;RS;115988848;49239233;7033783;14543809;70166670;35803190;5285545;7508586;69408838;33441411;3226495;2614844;60830104;19963728;3855377;5806054;75258903;21665175;4260133;7457598;61447307;21328760;1916966;867764
Campo Bom;RS;48815764;8925854;32259381;14554873;67161595;15147990;47217481;18911608;76470343;11315609;61824895;23586676;74928620;11702496;64562886;21398501;90473294;24576195;59311021;22603100;69395474;12224081;87143286;28148305
