nomeLocalidade,estado,População residente,Densidade demográfica,Porcentagem de Jovens,Porcentagem de Ativos,Porcentagem de Idosos,Taxa de Urbanização,Taxa de Saneamento Básico,Ativos com Baixo Nível Educacional,Ativos com Médio Nível Educacional,Ativos com Alto Nível Educacional,Percentual de estrangeiros ao total de Trabalhadores,PIB Municipal,Estudantes Ensino primário,Estudantes Ensino secundário,Estudantes Ensino superior,Óbitos até 1 ano de idade por milhares de habitantes,Óbitos por milhares de habitantes,Nascidos por milhares de habitantes,Hospitais por milhares de habitantes,Médicos por milhares de habitantes,% de pobres,IDH,Percentual de trabalhadores especializados,"Valores de Importação por 10,000 habitantes","Valores de Exportação por 10,000 habitantes","Número de hotéis por 10,000 habitantes",Percentual de empresas do setor primário em relação ao total,Percentual de empresas do setor secundário em relação ao total,Percentual de empresas do setor terciário em relação ao total,Percentual de trabalhadores do setor primário em relação ao total,Percentual de trabalhadores do setor secundário em relação ao total,Percentual de trabalhadores do setor terciário em relação ao total,Média Salarial,Produtividade,Taxa de desemprego dos jovens,Taxa de desemprego,"Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes","Número de ativos culturais e de lazer por 10,000 habitantes",cat_export,cat_import
Chalé,Minas Gerais,5645,26.54,39.54,50.65,9.81,51.29,41.95,69.56,24.1,6.34,0.0,30275207.55,921,402,0,0.5,3.8,14.0,0.0,0.0,18.56,0.79,5.43,0.0,0.0,0.0,12.2,9.76,78.05,8.29,4.29,16.57,862.85,1098512.88,10.42,4.9,5.85,0.0,zero,zero
Passa Tempo,Minas Gerais,8197,19.1,34.78,53.44,11.78,77.71,69.98,71.48,21.07,7.44,0.0,94681415.78,1099,382,0,0.0,6.5,8.5,0.13,1.13,12.25,0.81,6.68,0.0,413874.59,0.0,6.38,14.89,78.72,21.42,23.94,30.13,828.86,2626289.52,6.67,3.53,20.25,0.0,media,zero
Uruaçu,Goiás,36929,17.24,41.08,51.05,7.87,90.5,38.76,60.98,28.06,10.96,0.0,440610239.1,6288,2050,1218,0.1,5.1,15.0,0.11,0.0,6.78,0.86,8.41,0.0,0.0,2.44,4.47,11.26,84.27,2.98,34.27,48.23,1145.27,2378596.09,8.45,4.53,36.91,1.62,zero,zero
Batatais,São Paulo,56476,66.48,37.21,53.19,9.6,88.68,95.26,55.76,27.59,16.65,0.49,995100342.9,6015,3576,2216,0.1,8.0,11.8,0.02,0.91,3.88,0.84,13.96,0.0,0.0,1.59,2.15,18.59,79.17,5.71,41.62,44.42,1495.82,3564558.19,17.38,5.71,43.91,2.83,zero,zero
Rancho Queimado,Santa Catarina,2748,9.6,35.95,54.66,9.39,49.6,13.29,72.4,19.42,8.19,5.79,62352752.04,276,107,0,0.0,5.3,8.0,0.0,1.67,1.92,0.89,11.23,0.0,1903.2,14.56,6.15,16.92,76.92,5.51,26.87,37.67,1053.44,3635743.44,1.15,0.46,31.3,7.28,media,zero
Poço Verde,Sergipe,21983,49.94,45.73,45.32,8.95,57.38,42.36,81.72,14.52,3.76,0.0,140322105.4,2829,838,0,0.0,3.4,13.1,0.0,0.91,40.04,0.75,19.43,0.0,0.0,0.45,1.04,8.33,90.63,0.48,3.58,25.24,875.49,1578232.98,9.93,5.96,8.87,0.45,zero,zero
Santanópolis,Bahia,8776,38.02,45.23,43.61,11.15,20.16,0.55,69.94,28.29,1.77,0.0,31954995.68,1101,466,0,0.7,6.7,16.6,0.0,0.0,38.96,0.75,9.7,0.0,0.0,0.0,21.43,7.14,71.43,3.32,0.28,4.99,976.38,802535.14,10.89,5.93,1.14,0.0,zero,zero
Iaras,São Paulo,6376,15.89,38.38,56.18,5.44,27.06,56.27,79.04,15.55,5.41,0.0,76477760.88,1033,323,0,0.0,1.2,12.8,0.0,0.5,23.43,0.85,15.14,0.0,0.0,1.57,10.34,3.45,86.21,42.2,0.06,41.04,1300.43,3847585.51,16.7,5.51,20.39,1.57,zero,zero
Teixeira Soares,Paraná,10283,11.39,44.74,48.02,7.25,48.95,7.6,73.37,20.28,6.35,1.73,122748788.0,924,395,0,0.4,3.9,12.7,0.1,0.0,14.73,0.82,13.37,0.0,901561.8,0.97,16.16,12.12,71.72,29.73,11.57,28.71,890.36,2524737.6,14.46,6.84,16.24,0.0,media,zero
Ariranha,São Paulo,8547,64.45,37.85,53.25,8.9,95.0,94.16,69.64,21.58,8.78,0.0,494338651.0,1116,389,0,0.0,3.6,10.1,0.0,0.89,2.34,0.81,7.82,0.0,0.0,0.0,4.65,13.95,81.4,35.82,42.65,10.51,2221.62,11700331.36,15.38,6.36,20.94,0.0,zero,zero
Laguna,Santa Catarina,51562,153.28,37.09,53.31,9.6,78.81,29.75,57.15,31.65,11.21,0.79,480184531.1,5627,2785,299,0.0,5.3,10.6,0.02,0.65,5.27,0.87,10.42,0.0,57587.56,3.68,2.56,12.33,85.1,6.34,13.9,63.34,965.07,2086618.28,14.05,6.0,44.01,1.16,media,zero
Santo Antônio da Alegria,São Paulo,6304,20.32,37.36,52.27,10.37,75.55,72.93,68.02,20.43,11.55,0.0,114879809.3,872,312,0,0.2,5.5,8.8,0.0,0.0,6.19,0.83,11.21,0.0,0.0,0.0,12.75,21.57,65.69,35.18,8.1,25.31,789.31,3542399.01,6.8,2.23,20.3,0.0,zero,zero
Terra Santa,Pará,16949,8.94,54.79,39.25,5.95,65.49,0.61,67.28,28.05,4.66,0.55,71246646.91,1531,926,0,0.1,2.8,17.5,0.0,0.06,38.14,0.76,8.4,0.0,0.0,0.0,0.0,9.09,90.91,0.44,2.65,6.63,857.67,1124491.08,11.27,5.85,2.36,0.0,zero,zero
Barra Longa,Minas Gerais,6143,16.01,34.85,50.72,14.42,39.0,61.97,78.22,18.22,3.57,0.0,32506544.52,930,196,0,0.2,2.7,7.7,0.0,0.67,25.4,0.82,12.64,0.0,0.0,0.0,5.13,25.64,69.23,15.52,6.7,16.67,732.3,1500369.0,40.23,18.98,11.07,0.0,zero,zero
Cruzeiro do Iguaçu,Paraná,4278,26.43,42.82,48.67,8.51,63.09,0.0,74.94,19.77,5.29,0.0,62364940.68,466,189,0,0.0,3.0,12.5,0.0,0.0,9.77,0.79,12.59,0.0,0.0,0.0,10.91,16.36,72.73,18.97,25.49,23.67,829.8,2921097.05,6.79,5.41,11.22,0.0,zero,zero
Novo Cruzeiro,Minas Gerais,30725,18.04,51.16,41.36,7.48,38.53,32.78,81.61,11.69,6.7,0.0,112410485.0,7018,1419,0,0.2,5.8,18.7,0.03,0.0,42.32,0.8,11.69,0.0,0.0,0.0,5.32,12.77,81.91,11.14,12.25,29.74,660.39,944258.71,8.01,5.37,7.23,0.33,zero,zero
Brasilândia do Sul,Paraná,3209,11.03,37.21,51.01,11.78,69.2,1.08,70.21,23.12,6.66,0.0,70585228.18,308,153,0,0.0,3.0,13.3,0.0,0.67,7.81,0.81,19.39,0.0,0.0,0.0,17.5,7.5,75.0,12.73,2.73,30.91,1213.85,5027421.65,14.69,5.2,9.35,0.0,zero,zero
Pires do Rio,Goiás,28762,26.8,38.09,52.71,9.2,94.45,22.03,58.91,28.89,12.19,0.38,398080748.6,4526,1690,986,0.2,6.0,11.2,0.0,0.62,4.38,0.88,10.12,0.0,0.0,2.78,8.63,10.04,81.33,7.44,40.2,36.17,823.62,2821500.64,12.67,5.19,35.46,1.74,zero,zero
Ipu,Ceará,40296,64.03,46.93,42.6,10.48,65.19,6.25,71.72,21.34,6.94,0.0,190355483.3,8308,2648,0,0.1,4.4,15.6,0.08,0.78,42.15,0.76,27.78,0.0,0.0,0.25,0.0,8.85,91.15,0.0,7.99,31.74,742.24,1307969.77,12.08,5.65,8.71,0.5,zero,zero
Canabrava do Norte,Mato Grosso,4786,1.39,47.7,47.66,4.64,55.45,0.26,68.9,23.78,7.32,0.0,43925142.24,876,373,0,0.0,3.2,14.0,0.0,0.0,27.37,0.82,5.11,0.0,0.0,0.0,5.88,17.65,76.47,18.02,10.51,8.41,814.48,2092348.16,15.55,6.44,4.6,0.0,zero,zero
Passagem,Rio Grande do Norte,2895,70.24,45.63,45.42,8.95,43.79,6.32,74.09,22.25,3.67,0.0,15618438.15,768,78,0,0.0,4.7,0.0,0.0,0.33,32.8,0.75,22.91,0.0,0.0,0.0,16.67,16.67,66.67,0.88,0.44,4.85,957.94,1952559.3,35.55,15.67,3.45,0.0,zero,zero
Xique-Xique,Bahia,45536,8.76,51.66,41.15,7.19,72.67,16.26,71.16,24.21,4.63,0.0,194920490.9,6144,2118,230,0.1,4.1,23.0,0.04,0.0,44.21,0.74,7.86,0.0,0.0,0.44,1.37,6.85,91.78,0.16,4.9,22.37,835.17,1188929.53,21.93,11.61,8.63,0.0,zero,zero
Águia Branca,Espírito Santo,9519,20.95,40.97,51.38,7.65,34.35,30.44,71.65,23.75,4.6,0.49,93704560.05,557,463,0,0.2,3.2,11.5,0.0,1.1,20.37,0.79,14.4,0.0,2139323.46,2.1,1.12,19.1,79.78,4.53,27.41,24.97,898.08,1707088.19,6.45,3.36,15.13,1.05,media,zero
Aral Moreira,Mato Grosso do Sul,10251,6.19,52.41,42.38,5.21,53.1,0.17,74.43,16.52,9.05,0.29,214451125.0,2277,430,0,0.5,3.3,24.7,0.0,0.0,26.82,0.8,12.64,0.0,0.0,0.0,23.19,10.14,66.67,30.54,2.46,34.98,1062.59,4967237.79,4.94,2.86,8.29,0.98,zero,zero
Antônio João,Mato Grosso do Sul,8208,7.17,50.13,42.46,7.41,84.52,1.34,70.76,18.45,10.8,6.09,146267134.6,1879,481,0,0.1,5.1,29.3,0.0,0.63,25.93,0.8,13.57,0.0,0.0,1.22,18.92,5.41,75.68,37.94,0.88,13.57,895.92,4168337.13,6.65,4.82,7.55,0.0,zero,zero
Barreiros,Pernambuco,40732,174.53,48.86,44.61,6.54,84.96,37.33,61.31,32.15,6.54,0.0,205843642.5,5356,2995,0,0.1,4.2,18.1,0.05,0.02,42.13,0.73,11.05,0.0,0.0,0.98,4.14,8.58,87.28,16.68,5.74,34.37,722.33,2131803.58,32.15,17.69,20.89,0.74,zero,zero
Ouro Preto do Oeste,Rondônia,37928,19.25,44.93,48.98,6.09,75.91,0.87,69.36,22.67,7.97,0.0,477373186.4,8049,2097,62,0.2,4.7,18.6,0.18,0.39,11.73,0.81,7.37,0.0,527896.54,2.11,2.52,11.24,86.24,4.84,18.39,67.53,872.75,2698406.51,14.08,7.73,47.67,0.26,media,zero
Axixá,Maranhão,11407,56.15,53.07,39.76,7.17,41.64,0.41,60.98,32.58,6.44,0.0,31746821.7,1166,671,0,0.1,2.5,23.4,0.0,0.0,49.2,0.78,6.82,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.29,616.32,794130.87,13.02,5.88,3.07,0.0,zero,zero
Bela Vista da Caroba,Paraná,3945,26.64,39.54,50.39,10.06,27.99,0.0,81.77,16.28,1.95,0.44,42131140.35,455,168,0,0.3,2.0,13.5,0.0,0.0,18.83,0.83,18.22,0.0,0.0,0.0,2.7,2.7,94.59,0.74,0.0,25.65,884.85,1658139.53,2.02,1.63,5.58,0.0,zero,zero
Ibiraci,Minas Gerais,12176,21.66,42.33,50.89,6.78,68.25,72.59,70.8,20.7,8.5,0.0,398605955.5,1958,467,0,0.1,2.7,10.3,0.0,1.0,3.99,0.86,9.41,0.0,190444.32,0.82,59.67,4.09,36.24,35.94,23.32,21.93,987.16,6307579.11,3.31,1.79,19.96,0.82,media,zero
Lagoa do Barro do Piauí,Piauí,4523,3.58,48.45,43.77,7.78,24.31,0.3,82.32,11.42,6.26,0.0,16259099.48,821,209,0,0.2,0.0,0.0,0.0,0.0,62.64,0.74,11.37,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,1.42,561.0,1906096.13,18.6,7.78,0.66,0.0,zero,zero
Carapicuíba,São Paulo,369584,10698.32,42.17,52.99,4.84,100.0,81.34,54.33,35.31,10.37,0.78,3040427126.0,34345,21904,1990,0.2,3.2,13.4,0.02,1.43,6.12,0.84,7.49,0.0,0.0,0.14,0.0,15.73,84.27,0.0,20.91,65.64,1152.46,1845103.32,18.96,9.33,22.86,0.38,zero,zero
Ubaíra,Bahia,19750,26.08,44.29,46.44,9.27,47.53,36.39,76.92,20.83,2.25,0.0,91696880.0,3947,685,0,0.2,6.5,16.4,0.05,0.0,43.77,0.76,3.79,0.0,0.0,0.51,16.0,9.33,74.67,5.57,8.2,20.67,664.28,1039771.05,14.04,7.68,5.82,0.0,zero,zero
Lagoa da Canoa,Alagoas,18250,216.29,49.64,43.05,7.32,49.76,1.53,78.8,18.04,3.16,0.0,93419012.5,4666,968,0,0.2,5.1,16.7,0.0,0.28,47.44,0.7,18.46,0.0,874315.62,0.0,2.5,0.0,97.5,3.24,0.0,36.24,630.94,1329075.39,6.48,3.1,3.78,0.0,media,zero
Pontal do Araguaia,Mato Grosso,5395,1.97,41.63,52.42,5.95,80.66,0.31,57.96,28.65,13.4,0.16,40153528.35,783,233,1014,0.2,0.0,0.0,0.0,0.4,7.36,0.82,9.63,0.0,0.0,0.0,35.14,18.92,45.95,48.52,10.0,8.89,849.07,1535233.75,9.09,5.09,3.34,0.0,zero,zero
São João da Lagoa,Minas Gerais,4656,4.67,44.23,48.4,7.37,49.17,0.0,78.35,16.51,5.14,0.0,25763556.96,975,300,0,0.0,1.4,7.0,0.0,0.8,32.7,0.81,8.82,0.0,0.0,0.0,42.86,0.0,57.14,26.23,1.96,4.41,756.58,1168631.01,13.85,5.52,3.22,0.0,zero,zero
São João dos Patos,Maranhão,24928,16.81,46.84,44.28,8.88,82.45,0.0,74.98,19.38,5.65,0.0,116387834.9,4208,1389,93,0.0,4.3,19.7,0.0,0.0,32.44,0.73,10.13,0.0,0.0,1.2,7.41,9.52,83.07,2.95,14.7,41.56,893.09,1060328.17,15.47,6.57,18.09,0.8,zero,zero
Caldeirão Grande,Bahia,12491,26.86,49.17,41.28,9.55,40.13,8.6,81.59,15.66,2.75,0.0,47749470.61,1672,553,0,0.3,5.1,16.0,0.0,0.33,52.34,0.76,7.23,0.0,0.0,0.0,0.0,0.0,100.0,0.14,0.0,2.13,1445.39,896599.66,18.79,10.36,0.64,0.0,zero,zero
Cortês,Pernambuco,12452,122.9,50.68,44.23,5.09,64.92,56.96,74.29,20.87,4.84,0.0,111627448.2,3393,829,0,0.1,4.0,17.6,0.0,0.5,42.14,0.71,4.63,0.0,28301687.28,0.0,2.38,16.67,78.57,1.87,77.83,1.89,853.82,3465125.66,16.79,6.77,3.85,0.0,media,zero
Vicência,Pernambuco,30732,134.78,47.62,46.62,5.76,47.27,39.06,73.2,20.69,6.11,0.0,211221343.3,4609,1401,0,0.1,3.2,14.6,0.03,0.13,38.9,0.75,19.19,0.0,3821971.24,0.33,10.62,10.62,78.76,7.79,58.93,5.52,781.49,2563587.81,29.83,16.03,5.66,0.0,media,zero
Barro Alto,Bahia,13612,32.68,46.18,45.5,8.32,49.57,1.06,78.65,19.01,2.35,0.0,44908846.52,1310,409,0,0.0,5.6,14.1,0.07,0.0,44.24,0.74,1.63,0.0,0.0,0.0,0.0,0.0,100.0,0.73,0.0,12.34,737.92,683310.53,8.25,3.79,3.38,0.0,zero,zero
Foz do Jordão,Paraná,5420,23.03,47.69,46.22,6.09,71.29,0.7,81.09,14.39,4.53,0.0,49387527.8,698,189,0,0.2,4.0,17.4,0.0,0.0,19.52,0.83,12.46,0.0,0.0,1.85,3.39,28.81,67.8,14.01,17.99,29.93,743.09,2355921.68,14.29,9.59,13.47,0.0,zero,zero
Darcinópolis,Tocantins,5273,3.22,49.99,43.22,6.79,65.21,28.84,79.61,13.47,6.92,0.0,39916188.16,1118,149,0,0.0,5.2,14.0,0.0,0.2,30.07,0.76,12.61,0.0,0.0,0.0,36.84,5.26,57.89,25.51,0.88,7.62,717.18,2043830.01,13.73,7.17,3.79,0.0,zero,zero
Xavantina,Santa Catarina,4142,19.12,34.97,55.06,9.97,29.94,1.18,78.87,17.53,3.61,0.0,89164792.58,325,174,0,0.5,6.5,10.8,0.25,0.5,3.42,0.86,12.81,0.0,0.0,0.0,1.19,11.9,86.9,16.5,7.88,48.52,965.66,2919613.62,0.67,0.39,19.31,0.0,zero,zero
Marechal Thaumaturgo,Acre,14227,1.74,68.24,29.45,2.31,31.4,1.21,82.21,12.89,4.89,0.0,96130558.57,5433,787,280,0.1,0.3,34.6,0.0,0.0,63.82,0.73,11.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.16,1244.98,1916660.01,7.79,5.06,0.42,0.0,zero,zero
Itapagipe,Minas Gerais,13656,7.58,34.37,56.15,9.48,70.42,69.38,66.31,24.25,9.45,0.0,206624702.6,1589,584,0,0.1,2.9,7.9,0.07,1.29,5.28,0.86,7.43,0.0,8134201.08,0.73,6.58,9.87,83.55,10.82,52.04,16.73,1267.34,2944909.58,9.16,4.27,23.29,2.2,media,zero
Desterro,Paraíba,7991,44.55,47.23,43.89,8.89,61.72,42.3,79.07,15.57,5.36,0.0,35740226.96,1681,474,0,0.1,5.0,14.4,0.13,0.0,45.85,0.72,6.1,0.0,0.0,0.0,3.7,7.41,88.89,0.59,0.98,30.31,705.17,1128512.79,8.81,4.49,4.13,0.0,zero,zero
Terra Rica,Paraná,15221,21.73,39.77,50.74,9.49,82.89,21.44,63.31,29.37,7.32,0.46,161492679.1,1822,811,0,0.1,5.8,15.5,0.0,0.67,3.79,0.84,7.7,0.0,0.0,0.66,2.86,18.57,78.57,6.75,62.82,16.69,980.44,2125873.39,8.42,3.56,24.57,1.31,zero,zero
Macuco,Rio de Janeiro,5269,67.8,39.21,51.26,9.53,88.39,90.34,53.41,37.49,9.11,2.52,94752321.62,1323,311,0,0.0,2.6,24.2,0.0,4.6,13.88,0.8,10.22,0.0,0.0,3.8,1.67,7.5,90.83,3.59,22.27,30.89,889.37,4492745.38,23.35,8.42,44.22,3.8,zero,zero
Campina das Missões,Rio Grande do Sul,6117,27.09,29.84,56.78,13.39,38.94,34.5,72.35,21.96,5.69,3.68,68259174.81,471,256,0,0.2,7.8,5.3,0.17,0.33,8.31,0.85,11.84,0.0,0.0,1.63,0.0,25.96,74.04,1.48,12.99,55.26,898.49,1715481.28,3.05,1.12,23.54,1.63,zero,zero
Dianópolis,Tocantins,19112,5.94,51.32,42.95,5.73,86.12,1.34,55.8,29.17,15.04,0.21,264050054.2,4560,1117,157,0.2,4.9,16.7,0.0,0.58,22.52,0.82,11.08,0.0,0.0,4.19,10.89,10.89,78.23,9.93,11.03,45.36,1009.41,3313529.12,21.6,9.78,25.48,1.57,zero,zero
Tapurah,Mato Grosso,10392,2.3,46.39,51.43,2.18,58.16,0.29,68.46,22.37,9.18,0.37,253499330.4,1373,636,24,0.3,2.1,14.9,0.0,0.0,4.25,0.83,6.77,0.0,16362474.98,2.89,7.69,19.62,72.69,53.44,11.52,25.32,1101.37,5088355.75,8.73,3.56,32.91,1.92,media,zero
Anapu,Pará,20543,1.73,56.48,40.14,3.37,47.82,0.0,85.83,10.73,3.45,0.0,111290264.5,3481,730,0,0.1,0.0,0.0,0.0,0.0,44.8,0.79,3.8,0.0,32803.87,0.49,25.0,20.0,55.0,11.9,30.05,13.76,791.0,1197874.41,3.07,3.51,5.11,0.0,media,zero
Fernando Prestes,São Paulo,5534,32.55,32.49,53.92,13.59,86.29,85.09,59.57,30.09,10.34,0.0,84379388.3,435,236,0,0.0,3.2,5.5,0.0,1.33,0.42,0.86,9.71,0.0,0.0,0.0,5.56,14.44,80.0,19.53,24.12,33.51,1061.47,2860305.08,12.16,4.25,15.0,0.0,zero,zero
Alvorada do Gurguéia,Piauí,5050,2.37,52.48,41.56,5.96,38.07,0.31,74.34,18.07,7.59,0.0,23203487.5,1273,296,0,0.0,0.0,0.0,0.0,0.0,56.77,0.75,23.55,0.0,0.0,0.0,46.15,0.0,53.85,20.0,0.0,5.81,912.32,1630920.59,17.03,10.5,2.77,0.0,zero,zero
Correntina,Bahia,31249,2.72,46.97,45.37,7.66,43.54,6.51,73.28,21.23,5.49,0.0,541474234.8,3283,1867,0,0.2,4.4,15.8,0.03,0.03,43.17,0.79,3.97,0.0,42274355.66,1.6,17.78,7.56,74.67,37.2,3.36,18.04,1142.09,5156587.97,13.92,6.82,14.34,0.0,media,zero
Lindóia do Sul,Santa Catarina,4642,24.61,34.51,55.15,10.34,46.46,0.87,70.85,23.24,5.91,0.0,83857915.68,406,182,0,0.0,2.6,9.6,0.2,0.2,4.68,0.87,8.05,0.0,31492630.33,0.0,0.0,24.62,75.38,0.54,63.24,22.54,822.55,2943418.74,0.18,0.35,24.99,0.0,media,zero
Sabino,São Paulo,5217,17.09,36.47,52.59,10.94,87.44,83.91,61.73,27.56,10.71,0.0,100253680.4,427,188,0,0.4,4.4,14.4,0.0,0.6,4.13,0.81,16.92,0.0,0.0,0.0,11.11,8.33,80.56,23.79,9.38,25.46,1086.91,4087382.99,11.11,5.1,17.44,0.0,zero,zero
Piacatu,São Paulo,5287,22.76,37.49,51.5,11.01,87.88,89.87,59.92,28.0,12.08,0.43,62564296.07,700,229,0,0.0,3.4,12.2,0.0,1.4,7.18,0.84,13.41,0.0,0.0,0.0,1.56,17.19,81.25,15.04,37.09,18.55,958.99,2512610.44,11.84,5.47,16.27,1.89,zero,zero
Paracuru,Ceará,31636,105.35,46.69,46.07,7.25,65.38,12.78,66.98,25.81,7.21,9.8,253938059.3,6954,1894,0,0.1,2.5,15.8,0.03,0.31,36.59,0.75,13.61,0.0,12230.05,4.74,4.73,19.53,75.74,9.15,18.82,22.31,1588.04,2046365.83,16.26,6.28,10.78,0.0,media,zero
Esperantina,Piauí,37767,41.45,47.83,44.31,7.85,63.33,0.63,72.77,22.08,5.16,0.0,159583703.2,5822,2382,146,0.0,5.3,22.3,0.03,0.0,37.61,0.77,24.01,0.0,95568.62,0.0,0.53,12.23,87.23,1.07,6.58,34.56,812.16,976890.11,11.53,6.21,10.09,0.0,media,zero
Coroados,São Paulo,5238,21.22,37.74,53.62,8.65,81.72,80.85,64.34,25.75,9.91,0.32,82572093.9,609,227,0,0.4,3.2,8.0,0.0,1.6,3.34,0.82,10.52,0.0,0.0,0.0,9.38,31.25,59.38,15.72,44.09,16.43,1017.06,2865093.68,12.03,4.44,16.42,1.91,zero,zero
Balneário Pinhal,Rio Grande do Sul,10856,104.63,37.21,50.89,11.89,98.9,1.27,66.31,24.87,8.82,2.89,101545829.8,1968,411,0,0.1,0.0,0.0,0.0,0.27,12.02,0.84,14.1,0.0,6418107.96,3.68,1.94,6.45,91.61,3.22,2.79,44.39,905.3,2605517.06,13.64,8.48,37.49,0.92,media,zero
Goiandira,Goiás,5265,9.32,35.4,53.12,11.47,84.87,1.85,51.86,34.57,13.57,0.0,55176041.7,722,209,0,0.0,3.4,8.8,0.2,0.0,4.63,0.85,11.27,0.0,0.0,0.0,5.0,18.33,76.67,15.49,20.32,25.35,1010.48,2313788.77,23.46,7.95,9.31,0.0,zero,zero
Acauã,Piauí,6749,5.27,46.81,45.79,7.4,14.17,0.0,88.06,9.75,2.19,0.0,23567980.43,1403,227,0,0.4,0.0,0.0,0.0,0.29,49.62,0.69,27.34,0.0,0.0,0.0,0.0,16.67,83.33,0.0,0.75,5.99,885.38,781691.54,9.93,3.8,1.04,0.0,zero,zero
Santa Cruz da Vitória,Bahia,6673,23.49,43.99,47.02,8.99,75.79,73.75,65.01,29.83,5.17,0.0,31997635.57,1125,185,0,0.1,3.1,12.3,0.0,0.71,40.13,0.79,13.92,0.0,0.0,0.0,36.11,0.0,63.89,20.07,0.0,9.22,651.48,1772742.38,16.15,11.48,5.99,0.0,zero,zero
Capetinga,Minas Gerais,7089,23.79,39.3,50.57,10.13,84.87,83.84,76.92,15.6,7.48,0.0,59549088.69,1203,325,0,0.0,2.7,8.6,0.0,0.71,6.67,0.85,12.53,0.0,0.0,0.0,6.32,29.47,64.21,23.55,25.17,21.93,687.21,1753504.12,11.38,4.79,19.61,1.41,zero,zero
Jampruca,Minas Gerais,5067,9.8,44.94,44.41,10.66,63.06,44.16,73.17,19.59,7.25,0.0,33590207.07,1153,287,0,0.0,4.0,13.4,0.0,0.0,28.48,0.78,8.22,0.0,0.0,1.97,11.11,3.7,85.19,18.83,5.57,25.46,709.82,1765475.56,10.07,5.42,8.49,0.0,zero,zero
Mulungu do Morro,Bahia,12249,21.64,51.92,41.55,6.53,51.28,0.45,82.17,15.56,2.27,0.0,41782686.39,2850,561,0,0.4,3.6,18.4,0.0,0.0,49.91,0.75,1.18,0.0,0.0,0.0,16.67,0.0,83.33,3.77,0.0,1.65,637.84,810025.16,12.45,7.71,0.9,0.0,zero,zero
Salgadinho,Pernambuco,9312,106.77,42.3,49.45,8.25,35.05,1.19,73.68,23.44,2.89,0.0,61839688.32,744,345,0,0.0,2.7,10.6,0.0,0.0,49.62,0.73,5.47,0.0,0.0,1.07,8.33,0.0,91.67,4.18,0.0,13.5,628.4,2649226.8,26.42,19.88,3.33,0.0,zero,zero
Ivaté,Paraná,7514,18.29,39.18,51.73,9.09,69.75,0.0,59.67,34.15,6.19,0.22,103369421.7,841,384,0,0.1,2.3,11.3,0.0,0.38,4.94,0.8,4.95,0.0,0.0,0.0,1.1,17.58,81.32,1.91,81.07,6.02,1044.88,2861680.95,14.5,6.22,11.71,1.33,zero,zero
Anapurus,Maranhão,13939,22.91,54.51,40.22,5.28,52.42,0.66,73.0,22.78,4.22,0.0,72991294.72,1461,985,0,0.1,3.1,25.8,0.0,0.0,54.45,0.76,20.33,0.0,8563224.05,0.0,12.5,8.33,79.17,5.35,12.25,11.3,713.77,1370689.98,9.99,7.7,0.86,0.0,media,zero
Planalto,Rio Grande do Sul,10524,45.67,37.49,51.64,10.87,60.46,4.86,71.52,19.96,8.52,1.79,97706184.12,1068,469,0,0.1,6.5,14.0,0.18,0.36,15.18,0.81,13.17,0.0,465.6,1.9,0.45,18.64,80.91,0.17,31.67,42.33,898.29,1599901.75,6.94,2.91,24.9,1.9,media,zero
Aroazes,Piauí,5779,7.03,42.78,47.68,9.54,61.66,0.0,78.13,17.62,4.25,0.0,23133221.42,1266,344,0,0.0,3.5,16.0,0.0,0.0,43.99,0.75,31.55,0.0,0.0,0.0,8.33,0.0,91.67,13.69,0.3,7.74,783.53,1370100.65,20.95,10.96,4.33,0.0,zero,zero
Santa Bárbara do Sul,Rio Grande do Sul,8829,9.05,36.18,54.06,9.76,80.59,17.7,69.45,19.97,10.58,2.06,261807396.5,804,434,0,0.2,7.1,13.6,0.22,0.0,8.47,0.84,11.25,0.0,33137108.39,2.27,14.88,10.71,74.4,26.49,3.34,46.76,1172.99,6475562.7,10.92,4.01,36.92,1.13,media,zero
Alexânia,Goiás,23814,28.09,43.95,49.4,6.64,82.02,0.82,68.21,23.8,7.99,0.0,332336991.4,4932,1179,0,0.3,4.1,13.1,0.04,0.04,13.88,0.84,8.26,0.0,0.0,4.62,11.92,16.23,71.85,14.29,21.88,35.87,1265.74,3244531.17,11.16,6.19,23.81,0.42,zero,zero
Miguel Pereira,Rio de Janeiro,24642,85.21,35.6,52.71,11.69,88.19,35.93,55.04,30.14,14.81,6.3,361923460.9,4692,1975,0,0.1,11.3,12.6,0.04,1.8,7.89,0.83,16.62,0.0,0.0,4.87,1.97,9.3,88.73,3.73,8.72,57.75,956.7,3302289.73,19.54,9.51,44.36,2.03,zero,zero
Nova Ubiratã,Mato Grosso,9218,0.73,47.05,50.14,2.81,63.03,2.14,75.29,18.93,5.78,0.08,264697451.0,1059,468,0,0.1,2.4,10.6,0.0,0.33,12.27,0.82,5.75,0.0,17864244.96,3.25,22.22,18.25,59.52,57.4,13.6,12.44,1257.28,5699291.54,8.24,3.4,12.48,0.0,media,zero
